Locus_tag,T3s,C3s,A3s,G3s,cai,cbi,fop,enc,GC3s,GC,Len_sym,Len_aa,hydropathy,aromaticity,target
J112_00120,0.28455,0.5343,0.15504,0.20578,0.26189,0.23,0.54921,45.61427,0.69206,0.66667,315.0,319.0,-0.63887,0.04075,EG
J112_00700,0.45559,0.47059,0.13296,0.13299,0.2548,0.18599,0.51919,42.80409,0.77427,0.65788,443.0,455.0,-0.18462,0.08791,EG
J112_01855,0.45946,0.376,0.08696,0.2,0.24387,0.19171,0.51128,46.68174,0.73684,0.67892,133.0,136.0,0.27426,0.03676,EG
J112_01990,0.36054,0.52695,0.14667,0.17365,0.26965,0.25718,0.5625,49.61502,0.73438,0.69374,192.0,197.0,-0.8132,0.04061,EG
J112_02280,0.37445,0.49807,0.173,0.15444,0.25144,0.23219,0.55254,42.07187,0.72542,0.69119,295.0,299.0,-0.53278,0.04013,EG
J112_04090,0.23148,0.41129,0.21239,0.31452,0.23378,0.09344,0.45324,46.54001,0.54676,0.61391,139.0,139.0,-0.22446,0.01439,EG
J112_04325,0.44726,0.42049,0.13889,0.18021,0.23326,0.19251,0.51447,46.30286,0.72347,0.63208,311.0,318.0,-0.06006,0.04717,EG
J112_05000,0.31154,0.50323,0.15556,0.22903,0.23809,0.13729,0.49429,47.18682,0.67714,0.65061,350.0,353.0,-0.48045,0.03966,EG
J112_05100,0.41975,0.28571,0.2,0.21429,0.15006,0.1174,0.44086,53.67971,0.62366,0.67719,93.0,95.0,-0.43474,0.03158,EG
J112_05115,0.36364,0.46591,0.08974,0.27273,0.2234,0.0795,0.45,37.35825,0.69,0.6246,100.0,103.0,0.01553,0.07767,EG
J112_05530,0.50391,0.46263,0.07011,0.121,0.2457,0.22078,0.53526,40.3472,0.83013,0.69175,312.0,319.0,0.20251,0.03135,EG
J112_06500,0.4,0.43312,0.16667,0.18471,0.2512,0.10744,0.47674,46.69501,0.69767,0.62389,172.0,187.0,0.19251,0.08021,EG
J112_06780,0.50216,0.40769,0.10373,0.14615,0.20923,0.15002,0.49474,43.24623,0.77895,0.68562,285.0,299.0,-0.10569,0.06355,EG
