Locus_tag,T3s,C3s,A3s,G3s,cai,cbi,fop,enc,GC3s,GC,Len_sym,Len_aa,hydropathy,aromaticity,target
J112_00120,0.28455,0.5343,0.15504,0.20578,0.26189,0.23,0.54921,45.61427,0.69206,0.66667,315.0,319.0,-0.63887,0.04075,EG
J112_00700,0.45559,0.47059,0.13296,0.13299,0.2548,0.18599,0.51919,42.80409,0.77427,0.65788,443.0,455.0,-0.18462,0.08791,EG
J112_01855,0.45946,0.376,0.08696,0.2,0.24387,0.19171,0.51128,46.68174,0.73684,0.67892,133.0,136.0,0.27426,0.03676,EG
J112_01990,0.36054,0.52695,0.14667,0.17365,0.26965,0.25718,0.5625,49.61502,0.73438,0.69374,192.0,197.0,-0.8132,0.04061,EG
J112_02280,0.37445,0.49807,0.173,0.15444,0.25144,0.23219,0.55254,42.07187,0.72542,0.69119,295.0,299.0,-0.53278,0.04013,EG
J112_04090,0.23148,0.41129,0.21239,0.31452,0.23378,0.09344,0.45324,46.54001,0.54676,0.61391,139.0,139.0,-0.22446,0.01439,EG
J112_04325,0.44726,0.42049,0.13889,0.18021,0.23326,0.19251,0.51447,46.30286,0.72347,0.63208,311.0,318.0,-0.06006,0.04717,EG
J112_05000,0.31154,0.50323,0.15556,0.22903,0.23809,0.13729,0.49429,47.18682,0.67714,0.65061,350.0,353.0,-0.48045,0.03966,EG
J112_05100,0.41975,0.28571,0.2,0.21429,0.15006,0.1174,0.44086,53.67971,0.62366,0.67719,93.0,95.0,-0.43474,0.03158,EG
J112_05115,0.36364,0.46591,0.08974,0.27273,0.2234,0.0795,0.45,37.35825,0.69,0.6246,100.0,103.0,0.01553,0.07767,EG
J112_05530,0.50391,0.46263,0.07011,0.121,0.2457,0.22078,0.53526,40.3472,0.83013,0.69175,312.0,319.0,0.20251,0.03135,EG
J112_06500,0.4,0.43312,0.16667,0.18471,0.2512,0.10744,0.47674,46.69501,0.69767,0.62389,172.0,187.0,0.19251,0.08021,EG
J112_06780,0.50216,0.40769,0.10373,0.14615,0.20923,0.15002,0.49474,43.24623,0.77895,0.68562,285.0,299.0,-0.10569,0.06355,EG
J112_07080,0.36806,0.46707,0.16026,0.20958,0.25388,0.28529,0.57592,50.40752,0.68586,0.64049,191.0,191.0,-0.50576,0.05236,EG
J112_07125,0.38393,0.4697,0.13675,0.22727,0.24153,0.13346,0.47682,50.95189,0.69536,0.63596,151.0,152.0,-0.41842,0.03947,EG
J112_07595,0.29348,0.42381,0.12371,0.31905,0.27297,0.29496,0.57692,49.25187,0.61111,0.6512,234.0,237.0,-0.38101,0.02954,EG
J112_07825,0.37668,0.50958,0.13274,0.22222,0.3721,0.43973,0.67869,43.15592,0.71148,0.69048,305.0,308.0,-1.61981,0.02597,EG
J112_08105,0.34524,0.37143,0.21591,0.26667,0.24478,0.13433,0.49565,42.12375,0.5913,0.59444,115.0,120.0,-0.37917,0.11667,EG
J112_09720,0.48341,0.44726,0.09795,0.13502,0.28381,0.25727,0.56023,41.50037,0.79541,0.67885,523.0,547.0,0.09982,0.06399,EG
J112_10475,0.4802,0.50628,0.06881,0.09623,0.25146,0.2194,0.53906,36.30882,0.85156,0.65806,256.0,271.0,0.82435,0.08856,EG
J112_10985,0.37714,0.50943,0.11702,0.16509,0.25762,0.22769,0.54113,44.78229,0.75325,0.65401,231.0,237.0,0.01013,0.08017,EG
J112_11755,0.42913,0.50266,0.12897,0.09236,0.24935,0.19696,0.5216,39.57556,0.8064,0.69767,625.0,645.0,-0.08822,0.05581,EG
J112_11825,0.24643,0.6,0.16609,0.15806,0.22335,0.2032,0.52841,40.82281,0.72443,0.69468,352.0,357.0,-0.86387,0.02521,EG
J112_11970,0.36559,0.54967,0.14089,0.14901,0.27269,0.32692,0.60452,44.32812,0.75706,0.67967,354.0,359.0,-0.88691,0.02507,EG
J112_12755,0.29091,0.50794,0.16949,0.22222,0.31981,0.30097,0.58333,32.01502,0.66667,0.63889,72.0,72.0,0.33056,0.04167,EG
J112_12945,0.29796,0.6014,0.12302,0.15035,0.28243,0.34834,0.61442,39.88434,0.76803,0.69792,319.0,320.0,-0.56844,0.05,EG
J112_13290,0.25217,0.51333,0.17886,0.21333,0.23139,0.2354,0.55,48.70341,0.6625,0.65844,160.0,162.0,-0.3858,0.04321,EG
J112_13365,0.30573,0.44571,0.18343,0.24,0.21798,0.07692,0.46734,52.48265,0.63317,0.59581,199.0,207.0,-0.04831,0.07246,EG
J112_14020,0.37584,0.42169,0.16456,0.22892,0.23657,0.1977,0.51053,44.26083,0.66316,0.64261,190.0,194.0,-0.22938,0.03608,EG
J112_14675,0.44037,0.58268,0.12069,0.06299,0.31442,0.29001,0.57639,37.19716,0.84722,0.65324,144.0,149.0,0.04966,0.08725,EG
J112_14745,0.31156,0.49895,0.17433,0.23579,0.23143,0.14263,0.50092,46.57159,0.66239,0.63784,545.0,555.0,-0.65063,0.03964,EG
J112_14810,0.33333,0.57078,0.11494,0.14612,0.33834,0.30112,0.59657,39.40731,0.77682,0.66531,233.0,245.0,-0.11673,0.09796,EG
J112_15195,0.25397,0.54639,0.19318,0.19244,0.22991,0.24746,0.55152,44.48593,0.67576,0.66368,330.0,335.0,-0.94478,0.02985,EG
J112_15970,0.39884,0.4898,0.1326,0.11224,0.27363,0.24447,0.5545,41.1966,0.78199,0.69782,211.0,214.0,0.12617,0.02336,EG
J112_16235,0.4402,0.54048,0.09429,0.10284,0.28313,0.26748,0.56436,38.29243,0.83168,0.68758,505.0,526.0,-0.23346,0.08745,EG
J112_16240,0.47452,0.48189,0.10272,0.11421,0.25494,0.19292,0.52141,42.39902,0.81108,0.68116,397.0,414.0,-0.08986,0.05556,EG
J112_16475,0.25764,0.50923,0.16807,0.23247,0.23097,0.19107,0.51667,45.33216,0.65667,0.6479,300.0,302.0,-0.46093,0.03311,EG
J112_17355,0.42481,0.50662,0.10108,0.10265,0.22076,0.17697,0.50154,40.51619,0.81846,0.70101,325.0,330.0,-0.10667,0.02424,EG
J112_19890,0.29719,0.50746,0.18774,0.20896,0.28754,0.33215,0.60317,45.87797,0.66667,0.64054,315.0,319.0,-0.48495,0.03762,EG
J112_19895,0.32796,0.48515,0.16842,0.18812,0.21851,0.21468,0.53275,53.62693,0.69432,0.67244,229.0,231.0,-0.94416,0.03463,EG
J112_19900,0.33621,0.46703,0.21788,0.13462,0.21673,0.21403,0.52174,42.35798,0.69324,0.69372,414.0,419.0,-0.45131,0.02625,EG
J112_20345,0.36889,0.51064,0.15638,0.19504,0.26412,0.23485,0.55625,46.80192,0.70938,0.58998,320.0,326.0,-0.33896,0.10123,EG
J112_20530,0.4269,0.52283,0.14521,0.1484,0.30326,0.29432,0.58621,43.74193,0.76065,0.61886,493.0,516.0,-0.22442,0.10465,EG
