Locus_tag,T3s,C3s,A3s,G3s,cai,cbi,fop,enc,GC3s,GC,Len_sym,Len_aa,hydropathy,aromaticity,target
J112_00020,0.44805,0.32484,0.14907,0.21656,0.19076,0.10334,0.47191,54.55331,0.67416,0.66488,178.0,187.0,-0.49893,0.03209,NEG
J112_00035,0.43154,0.44765,0.10236,0.15162,0.25605,0.26892,0.56757,43.94991,0.77027,0.68531,296.0,304.0,-0.13059,0.04605,NEG
J112_00040,0.32609,0.54902,0.18367,0.17647,0.27041,0.1007,0.47541,61.0,0.70492,0.61905,61.0,63.0,0.3254,0.06349,NEG
J112_00045,0.16216,0.55263,0.23077,0.23684,0.22851,0.16456,0.51111,60.64271,0.6,0.62963,45.0,45.0,-0.21111,0.02222,NEG
J112_00050,0.42149,0.46032,0.1157,0.15079,0.22007,0.2396,0.5493,45.84945,0.76761,0.71528,142.0,144.0,-0.72083,0.04167,NEG
J112_00060,0.32039,0.45763,0.16822,0.26271,0.27173,0.18797,0.53676,51.2711,0.63971,0.63549,136.0,139.0,-0.90647,0.02158,NEG
J112_00070,0.61765,0.45833,0.05556,0.10417,0.15755,0.09749,0.46,33.45951,0.86,0.5817,50.0,51.0,0.04118,0.09804,NEG
J112_00075,0.44898,0.44737,0.11594,0.16667,0.23104,0.22388,0.53571,47.06564,0.75397,0.64885,252.0,262.0,-0.04885,0.04962,NEG
J112_00110,0.32773,0.40909,0.20661,0.26515,0.23604,0.14925,0.50327,49.55494,0.60784,0.63834,153.0,153.0,-1.00327,0.04575,NEG
J112_00115,0.36878,0.4465,0.16667,0.1214,0.15256,0.02652,0.39535,42.21581,0.73643,0.6673,516.0,523.0,0.61969,0.03059,NEG
J112_00135,0.47414,0.3876,0.10833,0.17054,0.20333,0.22195,0.53571,42.03798,0.75,0.6924,280.0,285.0,-0.30702,0.04561,NEG
J112_00140,0.41414,0.44211,0.15686,0.18947,0.2371,0.05225,0.44444,48.27547,0.7094,0.65556,117.0,120.0,-0.21667,0.025,NEG
J112_00145,0.43296,0.40415,0.17962,0.1658,0.24956,0.14563,0.50226,46.68979,0.70362,0.65104,442.0,448.0,-0.31339,0.03795,NEG
J112_00150,0.5,0.47059,0.125,0.17647,0.2398,0.14408,0.5098,36.39917,0.7549,0.63175,102.0,105.0,-0.80952,0.0381,NEG
J112_00155,0.4,0.54023,0.11392,0.13793,0.36059,0.42939,0.66327,38.34048,0.78571,0.64026,98.0,101.0,-0.06337,0.0198,NEG
J112_00160,0.44737,0.36585,0.12195,0.26829,0.15546,-0.00288,0.39583,44.90035,0.66667,0.625,48.0,48.0,-0.25625,0.02083,NEG
J112_00165,0.43662,0.42453,0.13712,0.15723,0.20572,0.13841,0.48571,47.11632,0.74,0.6621,350.0,365.0,-0.10959,0.0411,NEG
J112_00170,0.50575,0.44565,0.07955,0.15217,0.24036,0.23506,0.54717,37.59589,0.80189,0.65749,106.0,109.0,-0.37064,0.0367,NEG
J112_00185,0.39796,0.5431,0.08911,0.14655,0.26419,0.16685,0.51562,35.05369,0.79688,0.65903,128.0,131.0,0.14656,0.07634,NEG
J112_00195,0.34171,0.53271,0.13592,0.18224,0.25922,0.30288,0.58635,42.51937,0.73092,0.6901,249.0,256.0,-0.72266,0.03906,NEG
J112_00205,0.50318,0.43182,0.12727,0.11364,0.2597,0.2469,0.53571,44.66476,0.79082,0.65677,196.0,202.0,0.09257,0.0495,NEG
J112_00245,0.32,0.62,0.09804,0.14,0.29898,0.40706,0.64407,33.40574,0.79661,0.6612,59.0,61.0,-0.37705,0.04918,NEG
J112_00255,0.37162,0.45578,0.16107,0.19728,0.25479,0.23567,0.54286,36.41293,0.69714,0.67039,175.0,179.0,-0.13855,0.04469,NEG
J112_00260,0.42353,0.45946,0.14451,0.12973,0.20333,0.17695,0.51456,44.50137,0.76214,0.69059,206.0,209.0,-0.34641,0.03828,NEG
J112_00265,0.48182,0.44628,0.13274,0.10744,0.2211,0.1,0.46667,43.07654,0.79259,0.6691,135.0,137.0,-0.12701,0.07299,NEG
J112_00280,0.4965,0.47273,0.09396,0.11515,0.23941,0.20242,0.51648,38.36149,0.81868,0.66132,182.0,187.0,0.10214,0.05882,NEG
J112_00310,0.36774,0.56158,0.09756,0.16749,0.27116,0.17321,0.51584,44.43435,0.77376,0.62174,221.0,230.0,-0.23522,0.10435,NEG
J112_00315,0.31907,0.5,0.19784,0.18621,0.25795,0.16997,0.5119,49.73273,0.6756,0.60133,336.0,352.0,-0.12841,0.0767,NEG
J112_00320,0.24528,0.42857,0.28571,0.19048,0.20477,0.19833,0.52941,61.0,0.58824,0.65686,68.0,68.0,-0.42647,0.01471,NEG
J112_00335,0.4,0.38636,0.16667,0.15909,0.23774,0.20222,0.52,53.09615,0.7,0.67974,50.0,51.0,0.19608,0.0,NEG
J112_00340,0.4734,0.48183,0.10296,0.13599,0.27216,0.2201,0.53354,40.94289,0.79455,0.63704,954.0,979.0,-0.00776,0.10215,NEG
J112_00345,0.40909,0.46774,0.16667,0.14516,0.18215,0.03551,0.44156,44.86535,0.72727,0.64557,77.0,79.0,-0.56203,0.02532,NEG
J112_00350,0.38614,0.47059,0.14953,0.17647,0.26874,0.21495,0.52273,52.03311,0.7197,0.62657,132.0,133.0,0.22331,0.05263,NEG
J112_00380,0.35897,0.45455,0.17073,0.18182,0.17158,0.12023,0.4898,40.12209,0.69388,0.65333,49.0,50.0,-0.59,0.06,NEG
J112_00390,0.22222,0.73529,0.28571,0.02941,0.26641,0.3935,0.65,54.71429,0.775,0.64286,40.0,42.0,-1.49048,0.09524,NEG
J112_00405,0.43175,0.40822,0.12158,0.2,0.25314,0.16696,0.51005,45.57546,0.71608,0.66342,398.0,411.0,0.03017,0.05353,NEG
J112_00415,0.42857,0.38614,0.17347,0.24752,0.29268,0.26897,0.56911,50.00549,0.65854,0.62992,123.0,127.0,-0.46142,0.05512,NEG
J112_00430,0.35971,0.53293,0.12752,0.20359,0.27377,0.2511,0.55729,43.17651,0.72396,0.61538,192.0,195.0,-0.55077,0.04103,NEG
J112_00435,0.3125,0.5,0.12245,0.25,0.24436,0.15663,0.49275,39.60402,0.68116,0.62319,69.0,69.0,-0.35217,0.04348,NEG
J112_00440,0.45161,0.4065,0.15179,0.14228,0.22633,0.1814,0.50562,45.40759,0.74157,0.68254,267.0,273.0,-0.23077,0.05128,NEG
