Locus_tag,T3s,C3s,A3s,G3s,cai,cbi,fop,enc,GC3s,GC,Len_sym,Len_aa,hydropathy,aromaticity,target
J112_00005,0.29396,0.57547,0.17215,0.17925,0.29696,0.242,0.55758,44.55411,0.70909,0.58974,495.0,507.0,-0.38126,0.06903,EG
J112_00010,0.45679,0.32303,0.12463,0.25,0.21802,0.1275,0.47462,46.74185,0.66751,0.60116,394.0,402.0,0.1597,0.05224,EG
J112_00015,0.48344,0.25439,0.17197,0.26316,0.17964,0.01346,0.40053,50.31057,0.61804,0.60087,377.0,385.0,-0.06078,0.05195,EG
J112_t21097,0.36842,0.3,0.2,0.25,0.09982,0.15385,0.5,2.0,0.59091,0.65152,22.0,22.0,-0.85,0.04545,EG
J112_t21099,0.36364,0.36364,0.22727,0.18182,0.11984,-0.15254,0.32,42.71429,0.64,0.61333,25.0,25.0,0.364,0.0,EG
J112_00055,0.424,0.57233,0.08088,0.15094,0.36463,0.30636,0.60894,38.45594,0.80447,0.62637,179.0,182.0,-0.30275,0.08242,EG
J112_00080,0.39655,0.5,0.13115,0.14563,0.2751,0.24392,0.5531,46.36613,0.76106,0.6408,226.0,232.0,0.11638,0.06034,EG
J112_00095,0.3224,0.44976,0.14776,0.2512,0.23123,0.22592,0.5439,50.39361,0.65525,0.65411,467.0,478.0,-0.40795,0.0523,EG
J112_t21101,0.57143,0.42857,0.14286,0.04762,0.18547,0.0289,0.44,20.0,0.84,0.67857,25.0,28.0,-0.29643,0.21429,EG
J112_00175,0.48346,0.45195,0.13089,0.15616,0.23166,0.17037,0.51009,44.40252,0.75908,0.62041,743.0,771.0,-0.20506,0.09209,EG
J112_00220,0.4366,0.48547,0.1269,0.16707,0.2632,0.19296,0.5257,43.84705,0.75375,0.6302,934.0,969.0,-0.31063,0.10423,EG
J112_00250,0.26335,0.4893,0.17993,0.24465,0.20717,0.125,0.46448,46.95186,0.63934,0.64214,366.0,367.0,-0.22398,0.02452,EG
J112_00285,0.39437,0.65333,0.14286,0.05333,0.32955,0.25904,0.55435,34.5597,0.83696,0.60764,92.0,96.0,-0.25104,0.05208,EG
J112_00290,0.42308,0.50714,0.09489,0.15714,0.24968,0.20291,0.54658,39.95852,0.78261,0.6687,161.0,164.0,-0.47378,0.07317,EG
J112_00295,0.6,0.52239,0.05797,0.07463,0.32147,0.31842,0.60241,36.8575,0.89157,0.65079,83.0,84.0,-0.61429,0.04762,EG
J112_00300,0.49138,0.47656,0.09449,0.16406,0.26326,0.10364,0.4702,43.09415,0.78146,0.625,151.0,152.0,-0.02105,0.02632,EG
J112_00305,0.47604,0.43094,0.1312,0.17265,0.25398,0.21669,0.53533,43.21557,0.74251,0.62891,835.0,874.0,-0.30343,0.05721,EG
J112_00325,0.41696,0.48986,0.08418,0.15652,0.25038,0.23035,0.55191,42.01432,0.78415,0.68333,366.0,380.0,-0.09868,0.08158,EG
J112_00355,0.2993,0.43185,0.15254,0.30322,0.23671,0.13317,0.47297,45.47039,0.61081,0.61995,740.0,742.0,-0.02844,0.03908,EG
J112_00370,0.29412,0.49626,0.1474,0.25187,0.26742,0.19409,0.53659,47.87854,0.66297,0.65217,451.0,460.0,-0.37065,0.05217,EG
J112_00375,0.34056,0.48493,0.15106,0.21644,0.25379,0.16832,0.51202,47.6633,0.6899,0.66351,416.0,423.0,-0.1234,0.03783,EG
J112_00410,0.50714,0.42136,0.11448,0.16024,0.28599,0.26677,0.55914,40.3605,0.76344,0.64274,372.0,390.0,0.0659,0.08462,EG
J112_00505,0.40107,0.52423,0.10891,0.14978,0.26745,0.25375,0.552,40.41102,0.776,0.65229,250.0,255.0,0.25922,0.06275,EG
J112_00585,0.41558,0.34884,0.15385,0.19767,0.1796,0.0755,0.45055,52.88195,0.68132,0.68841,91.0,92.0,-0.4087,0.0,EG
J112_00620,0.35047,0.41825,0.20601,0.25475,0.25991,0.14122,0.5,51.41338,0.61667,0.55975,300.0,318.0,-0.09654,0.08491,EG
J112_00625,0.33099,0.4023,0.2013,0.25862,0.26341,0.14479,0.50777,61.0,0.60622,0.57993,193.0,196.0,0.08571,0.06633,EG
J112_00630,0.3913,0.39752,0.19444,0.21118,0.17912,0.0445,0.43333,50.5332,0.65556,0.6193,180.0,190.0,0.04526,0.06842,EG
J112_00635,0.38644,0.42814,0.17834,0.17964,0.21456,0.15909,0.50402,48.78311,0.68901,0.62953,373.0,386.0,0.09948,0.06736,EG
J112_00655,0.32506,0.48622,0.13913,0.22835,0.22216,0.17313,0.51138,44.68663,0.68476,0.6713,571.0,576.0,-0.48889,0.02257,EG
J112_00695,0.44529,0.56778,0.11005,0.12574,0.30929,0.29776,0.58537,38.00101,0.80836,0.62951,574.0,601.0,-0.36739,0.12313,EG
J112_00710,0.27915,0.39661,0.21951,0.25763,0.23926,0.20197,0.51642,42.98555,0.58507,0.65192,335.0,339.0,-0.31298,0.02065,EG
J112_00720,0.37209,0.42969,0.15493,0.23958,0.2409,0.17241,0.5,49.0103,0.66591,0.65094,440.0,445.0,-0.3618,0.03596,EG
J112_00805,0.4473,0.50714,0.10488,0.1381,0.30545,0.27589,0.57377,38.93273,0.79303,0.64361,488.0,506.0,-0.14368,0.0751,EG
J112_00850,0.32595,0.43681,0.15313,0.24725,0.25433,0.17586,0.50623,48.83992,0.65337,0.67247,401.0,402.0,-0.16294,0.03234,EG
J112_00860,0.50658,0.45687,0.08228,0.11502,0.24807,0.16673,0.50696,41.05545,0.8273,0.68124,359.0,366.0,0.13716,0.03552,EG
J112_00865,0.48101,0.55789,0.12644,0.04211,0.24858,0.21939,0.51887,38.91624,0.85849,0.60303,106.0,110.0,0.82182,0.07273,EG
J112_00870,0.51479,0.54258,0.0557,0.07299,0.30548,0.28128,0.57366,36.08042,0.88616,0.64491,448.0,475.0,0.66842,0.05895,EG
J112_00905,0.35294,0.53012,0.14841,0.1747,0.2445,0.20737,0.53763,42.90693,0.73118,0.68074,372.0,379.0,-0.89947,0.03166,EG
J112_00930,0.45545,0.48963,0.07175,0.12863,0.28972,0.2492,0.54086,40.6902,0.81712,0.63522,257.0,265.0,1.00868,0.07925,EG
J112_00935,0.45327,0.53125,0.04681,0.12891,0.28491,0.25994,0.56318,39.10313,0.84116,0.6436,277.0,289.0,0.77232,0.10035,EG
J112_00940,0.52522,0.42716,0.10556,0.14074,0.24382,0.17294,0.51011,40.84115,0.78652,0.62555,445.0,454.0,0.07643,0.07048,EG
J112_00945,0.49799,0.51186,0.09191,0.14237,0.27969,0.23857,0.54971,40.57533,0.80409,0.60019,342.0,346.0,-0.0604,0.06647,EG
J112_00950,0.46115,0.49781,0.09434,0.125,0.29345,0.30587,0.58268,40.19524,0.80906,0.66537,508.0,516.0,-0.15543,0.06202,EG
J112_00955,0.54408,0.43202,0.10875,0.13816,0.25412,0.17638,0.50575,41.98408,0.79119,0.62201,522.0,530.0,-0.02811,0.06981,EG
J112_00960,0.50685,0.48204,0.07668,0.13473,0.26541,0.25687,0.55291,39.58878,0.81746,0.63162,378.0,390.0,-0.06872,0.05128,EG
J112_00965,0.47595,0.42188,0.11111,0.18527,0.2758,0.2166,0.53452,43.43269,0.74359,0.62136,507.0,515.0,-0.09223,0.05631,EG
J112_01025,0.48738,0.45318,0.10238,0.14214,0.25641,0.22118,0.54148,41.55923,0.78733,0.65991,663.0,691.0,-0.08712,0.0767,EG
J112_01045,0.27294,0.53924,0.15227,0.22736,0.24482,0.17136,0.52128,41.10242,0.68085,0.66025,564.0,571.0,-0.55236,0.03853,EG
J112_01070,0.49519,0.43955,0.09736,0.1284,0.22912,0.1919,0.50901,42.25706,0.8,0.66834,1165.0,1194.0,0.28911,0.06365,EG
J112_01155,0.48675,0.58091,0.08428,0.09959,0.36417,0.34451,0.62081,33.68793,0.85009,0.64136,567.0,606.0,-0.32129,0.10231,EG
J112_01210,0.49268,0.44595,0.0724,0.17117,0.26693,0.24499,0.55512,40.07186,0.7874,0.65394,254.0,262.0,0.10611,0.04198,EG
J112_01215,0.24658,0.48064,0.16578,0.27563,0.21089,0.12816,0.48347,43.34237,0.6219,0.6433,484.0,485.0,-0.47361,0.03505,EG
J112_01255,0.41667,0.62863,0.08578,0.09959,0.30008,0.24051,0.56044,36.7819,0.84799,0.63615,546.0,568.0,-0.15528,0.11444,EG
J112_01265,0.45339,0.57042,0.12851,0.09507,0.27979,0.25926,0.57317,39.91834,0.82012,0.64547,328.0,346.0,-0.45289,0.10405,EG
J112_01270,0.26617,0.50331,0.15496,0.24062,0.25688,0.22911,0.54134,45.04345,0.65945,0.66928,508.0,511.0,-0.39452,0.02935,EG
J112_01290,0.49363,0.41525,0.09202,0.13842,0.26195,0.22722,0.53806,42.3074,0.79265,0.68643,381.0,388.0,0.12345,0.03608,EG
J112_01315,0.28412,0.52538,0.12807,0.24112,0.25085,0.21187,0.5388,44.58366,0.68514,0.68062,451.0,454.0,-0.43062,0.03084,EG
J112_01320,0.50588,0.50914,0.0767,0.09399,0.27436,0.24651,0.56047,37.85805,0.85349,0.67955,430.0,440.0,-0.04523,0.05682,EG
J112_01340,0.34884,0.379,0.20994,0.28311,0.26222,0.14335,0.48971,47.53415,0.58848,0.58839,243.0,247.0,0.11498,0.08097,EG
J112_01345,0.28628,0.47594,0.17476,0.23886,0.24936,0.1526,0.49134,45.38248,0.64724,0.64123,635.0,642.0,-0.07274,0.05607,EG
J112_01365,0.47261,0.51018,0.09118,0.1289,0.26317,0.2087,0.53533,39.6948,0.81198,0.65651,835.0,853.0,0.00281,0.05393,EG
J112_01370,0.4023,0.4537,0.1087,0.19444,0.28415,0.23649,0.53913,37.56055,0.73043,0.64972,115.0,118.0,0.21864,0.05085,EG
J112_01375,0.264,0.57823,0.19084,0.17007,0.27705,0.23958,0.56548,41.19265,0.70238,0.6763,168.0,173.0,-0.83064,0.03468,EG
J112_01380,0.33165,0.55882,0.14039,0.16422,0.25347,0.22078,0.54451,40.44036,0.74327,0.69939,483.0,489.0,-0.62924,0.02249,EG
J112_01400,0.32624,0.50156,0.1875,0.18069,0.21044,0.13849,0.49863,45.07117,0.69315,0.65773,365.0,373.0,-0.65442,0.05898,EG
J112_01405,0.26301,0.46174,0.25201,0.25594,0.24176,0.14583,0.51082,46.46428,0.58658,0.64229,462.0,465.0,-0.97183,0.0172,EG
J112_01425,0.31496,0.48264,0.16412,0.22222,0.23851,0.22959,0.53681,39.98441,0.67178,0.66565,326.0,329.0,-0.53495,0.0304,EG
J112_01440,0.49847,0.52206,0.04762,0.10539,0.30107,0.29161,0.58028,37.59052,0.86239,0.65515,436.0,463.0,0.7013,0.12743,EG
J112_01665,0.45509,0.45745,0.19429,0.08511,0.24367,0.23057,0.53302,38.47169,0.76415,0.66218,212.0,223.0,0.03229,0.07623,EG
J112_01675,0.52222,0.32243,0.13684,0.1729,0.22164,0.16796,0.48673,49.5387,0.72124,0.61765,226.0,238.0,0.67017,0.07563,EG
J112_01720,0.3545,0.47685,0.13846,0.23148,0.275,0.25428,0.5587,43.41017,0.68826,0.65613,247.0,253.0,-0.70751,0.03162,EG
J112_t21103,0.5625,0.22222,0.17647,0.27778,0.15138,0.10204,0.47619,2.0,0.61905,0.56061,21.0,22.0,-1.00455,0.04545,EG
J112_01740,0.49286,0.53293,0.05369,0.12575,0.29498,0.38347,0.63102,38.47596,0.84492,0.63333,187.0,190.0,-0.23263,0.07368,EG
J112_01745,0.44242,0.48346,0.12428,0.13995,0.24567,0.16801,0.50461,41.35358,0.77419,0.65011,434.0,443.0,0.12709,0.06546,EG
J112_01785,0.4094,0.5044,0.10932,0.1437,0.27575,0.21583,0.53581,43.09703,0.77984,0.66495,377.0,388.0,0.12809,0.06701,EG
J112_01800,0.51471,0.49174,0.08969,0.13636,0.30826,0.29088,0.58123,40.56785,0.80866,0.61458,277.0,288.0,0.00833,0.09722,EG
J112_01815,0.38298,0.42817,0.15743,0.24507,0.27042,0.20449,0.52029,47.44182,0.66348,0.64486,419.0,428.0,-0.20607,0.03037,EG
J112_01880,0.47699,0.56162,0.06214,0.15152,0.32553,0.24681,0.56607,35.69282,0.82545,0.63627,613.0,625.0,-0.3672,0.0368,EG
J112_01920,0.33535,0.47215,0.14986,0.23342,0.23239,0.15914,0.50117,45.05349,0.67366,0.65201,429.0,432.0,-0.21852,0.02315,EG
J112_01950,0.2342,0.48684,0.17518,0.27303,0.23823,0.1487,0.48246,43.16161,0.61696,0.625,342.0,344.0,-0.09593,0.03488,EG
J112_02045,0.31818,0.57962,0.13139,0.15924,0.26616,0.28896,0.58523,45.28793,0.75568,0.68343,176.0,179.0,-0.53687,0.02793,EG
J112_02080,0.46765,0.43575,0.11204,0.15084,0.23474,0.10686,0.46699,41.80137,0.77017,0.6778,409.0,419.0,0.20263,0.04057,EG
J112_02090,0.51961,0.46264,0.08125,0.13218,0.27116,0.21852,0.54082,39.31588,0.81633,0.65435,392.0,406.0,0.06256,0.07635,EG
J112_02095,0.29651,0.48649,0.13636,0.28256,0.29968,0.24977,0.55724,44.12663,0.64795,0.6489,463.0,469.0,-0.45139,0.04264,EG
J112_02135,0.32298,0.46547,0.16208,0.23423,0.25022,0.17435,0.51026,46.5098,0.6641,0.68363,390.0,393.0,-0.55852,0.03053,EG
J112_02175,0.47348,0.45875,0.10424,0.14851,0.28758,0.24365,0.54948,42.74844,0.77991,0.64251,677.0,690.0,0.1971,0.03623,EG
J112_02180,0.50523,0.4344,0.10458,0.14286,0.22608,0.14669,0.49067,41.03819,0.784,0.64762,375.0,385.0,0.03429,0.05195,EG
J112_02185,0.35,0.46203,0.14428,0.23418,0.25435,0.25576,0.55753,45.58858,0.67808,0.66576,730.0,739.0,-0.46238,0.0406,EG
J112_02205,0.35227,0.56545,0.12155,0.13089,0.25724,0.24902,0.5576,38.0835,0.78341,0.70758,217.0,220.0,-0.32364,0.03182,EG
J112_02210,0.45055,0.44257,0.12766,0.12162,0.22538,0.21706,0.52147,43.15179,0.77914,0.69118,326.0,340.0,0.01412,0.04706,EG
J112_02215,0.58491,0.38182,0.10526,0.14545,0.24587,0.12317,0.4697,35.08146,0.78788,0.62255,66.0,68.0,0.32353,0.04412,EG
J112_02220,0.43216,0.45089,0.11374,0.14286,0.2597,0.26292,0.55967,43.80643,0.76955,0.67065,243.0,251.0,0.39044,0.03187,EG
J112_02250,0.33333,0.52679,0.16268,0.17857,0.24842,0.25576,0.56371,42.56963,0.71429,0.673,259.0,263.0,-0.80646,0.03422,EG
J112_02255,0.2799,0.46377,0.16047,0.26087,0.23256,0.15572,0.49254,47.0323,0.63619,0.65138,536.0,545.0,-0.23578,0.03486,EG
J112_02275,0.34529,0.46275,0.18828,0.19608,0.22599,0.13127,0.48276,40.95098,0.67241,0.6575,290.0,291.0,-0.18247,0.04124,EG
J112_02305,0.48485,0.5,0.09859,0.14516,0.28999,0.27688,0.57022,39.67971,0.79494,0.63741,356.0,376.0,-0.19574,0.07447,EG
J112_02325,0.36321,0.43333,0.20188,0.23333,0.27292,0.21093,0.53571,43.1032,0.64643,0.65962,280.0,284.0,-1.08204,0.03521,EG
J112_02330,0.37079,0.5099,0.11732,0.16832,0.24581,0.25,0.5625,44.07401,0.75446,0.71761,224.0,229.0,-0.81179,0.03493,EG
J112_02335,0.36364,0.507,0.11842,0.20168,0.24977,0.23358,0.55164,45.3747,0.72796,0.6799,397.0,403.0,-0.75906,0.03226,EG
J112_02345,0.4863,0.59048,0.04283,0.12143,0.34607,0.21053,0.53947,31.47153,0.86654,0.65432,532.0,540.0,-0.09074,0.02963,EG
J112_02425,0.32911,0.44361,0.14286,0.26316,0.23092,0.15603,0.49834,42.33221,0.65116,0.66338,301.0,304.0,-0.39408,0.02632,EG
J112_02440,0.52857,0.60235,0.05263,0.06353,0.35376,0.36936,0.6373,32.20821,0.90369,0.66206,488.0,507.0,-0.01755,0.09665,EG
J112_02460,0.43402,0.56154,0.10929,0.12564,0.32274,0.21813,0.54605,41.84821,0.80482,0.61853,456.0,464.0,0.10862,0.06897,EG
J112_02485,0.49038,0.64985,0.03636,0.08309,0.3796,0.33381,0.62136,31.19723,0.90291,0.66121,412.0,428.0,-0.33294,0.09112,EG
